id,category,query,zone_expected,zone_actual,privacy_score,duration_ms,num_steps,Task Completion,Tool Correctness,Privacy Protection
z0_01,Zone 0 (Offline),What's my current GPA?,0,0,0.0,91.51222713340223,2,1.0,1.0,1.0
z0_02,Zone 0 (Offline),List my submitted assignments for this semester.,0,0,0.0,82.94458116460876,2,1.0,1.0,1.0
z0_03,Zone 0 (Offline),When is the deadline for CS101?,0,0,0.0,87.4111230335325,2,1.0,1.0,1.0
z0_04,Zone 0 (Offline),Show me my learning progress dashboard.,0,0,0.0,77.1208471867109,2,1.0,1.0,1.0
z1_01,Zone 1 (Sovereign),How do I optimize my CRISPR protocol for HEK293 cells?,1,1,0.9,1292.272352990778,6,1.0,1.0,0.9
z1_02,Zone 1 (Sovereign),My novel sorting algorithm 'QuickSort-X' is failing on large datasets.,1,1,0.9,1671.2079662606982,6,1.0,1.0,0.9
z1_03,Zone 1 (Sovereign),Patient 4453 showing severe reaction to drug formulation Alpha-9.,1,1,0.9,1188.3709289925828,6,1.0,1.0,0.9
z1_04,Zone 1 (Sovereign),What are the optimal hyperparameters for our proprietary model 'DeepSovereign'?,1,1,0.9,1235.9431781982535,6,1.0,1.0,0.9
z1_05,Zone 1 (Sovereign),Troubleshoot connection failure in unseen prototype device 'NeuralLink-V1'.,1,1,0.9,1579.618646820706,6,1.0,1.0,0.9
z2_01,Zone 2 (Optimistic),Explain gradient descent for my ML assignment.,2,2,0.5,1308.529249646797,4,1.0,1.0,0.5
z2_02,Zone 2 (Optimistic),How do transformers implement attention mechanisms?,2,2,0.5,1013.2528067360148,4,1.0,1.0,0.5
z2_03,Zone 2 (Optimistic),Best practices for writing secure Python code.,2,2,0.5,1422.7653696020227,4,1.0,1.0,0.5
z2_04,Zone 2 (Optimistic),Compare React and Vue for frontend development.,2,2,0.5,1579.1932327522252,4,1.0,1.0,0.5
z2_05,Zone 2 (Optimistic),What are the common side effects of chemotherapy?,2,2,0.5,1578.8328289625895,4,1.0,1.0,0.5
z3_01,Zone 3 (Direct),What is photosynthesis?,3,3,0.0,1193.9043486048204,3,1.0,1.0,0.5
z3_02,Zone 3 (Direct),Who wrote 'The Great Gatsby'?,3,3,0.0,916.6919939049668,3,1.0,1.0,0.5
z3_03,Zone 3 (Direct),Capital of France?,3,3,0.0,899.882311117081,3,1.0,1.0,0.5
z3_04,Zone 3 (Direct),Convert 100 degrees Fahrenheit to Celsius.,3,3,0.0,1424.1462791398649,3,1.0,1.0,0.5
z3_05,Zone 3 (Direct),Define 'algorithm'.,3,3,0.0,1420.4849905920744,3,1.0,1.0,0.5
edge_01,Edge Case,My supervisor Dr. Smith's CRISPR method is showing off-target effects.,1,1,0.9,1664.8174318716033,6,1.0,1.0,0.9
edge_02,Edge Case,"Regarding project 'BlueSky', send the report to ceo@company.com.",1,1,0.9,1101.895115255061,6,1.0,1.0,0.9
edge_03,Edge Case,How does the 'Apollo' architecture handle user ID 998877?,1,1,0.9,1331.224017755527,6,1.0,1.0,0.9
