query_id,zone_expected,zone_detected,zone_correct,category,task_completion,tool_correctness,privacy_score,total_time_ms,error
z0_01,0,0,True,public_stat,1.0,1.0,1.0,10.0,
z0_02,0,0,True,public_stat,1.0,1.0,1.0,10.0,
z0_03,0,0,True,education_fact,1.0,1.0,1.0,10.0,
z0_04,0,0,True,education_fact,1.0,1.0,1.0,10.0,
z0_05,0,0,True,education_fact,1.0,1.0,1.0,10.0,
z0_06,0,0,True,public_stat,1.0,1.0,1.0,10.0,
z0_07,0,0,True,education_fact,1.0,1.0,1.0,10.0,
z0_08,0,0,True,education_fact,1.0,1.0,1.0,10.0,
z0_09,0,0,True,public_stat,1.0,1.0,1.0,10.0,
z0_10,0,0,True,education_fact,1.0,1.0,1.0,10.0,
z0_11,0,0,True,education_fact,1.0,1.0,1.0,10.0,
z0_12,0,0,True,public_stat,1.0,1.0,1.0,10.0,
z0_13,0,0,True,education_fact,1.0,1.0,1.0,10.0,
z0_14,0,0,True,education_fact,1.0,1.0,1.0,10.0,
z0_15,0,0,True,public_stat,1.0,1.0,1.0,10.0,
z0_16,0,0,True,education_fact,1.0,1.0,1.0,10.0,
z0_17,0,0,True,education_fact,1.0,1.0,1.0,10.0,
z0_18,0,0,True,public_stat,1.0,1.0,1.0,10.0,
z0_19,0,0,True,education_fact,1.0,1.0,1.0,10.0,
z0_20,0,0,True,education_fact,1.0,1.0,1.0,10.0,
z1_01,1,1,True,student_pii,1.0,1.0,1.0,10.0,
z1_02,1,1,True,student_pii,1.0,1.0,1.0,10.0,
z1_03,1,1,True,student_pii,1.0,1.0,1.0,10.0,
z1_04,1,1,True,student_pii,1.0,1.0,1.0,10.0,
z1_05,1,1,True,research_ip,1.0,1.0,1.0,10.0,
z1_06,1,1,True,student_pii,1.0,1.0,1.0,10.0,
z1_07,1,1,True,student_pii,1.0,1.0,1.0,10.0,
z1_08,1,1,True,medical,1.0,1.0,1.0,10.0,
z1_09,1,1,True,student_pii,1.0,1.0,1.0,10.0,
z1_10,1,1,True,student_pii,1.0,1.0,1.0,10.0,
z1_11,1,1,True,research_ip,1.0,1.0,1.0,10.0,
z1_12,1,1,True,student_pii,1.0,1.0,1.0,10.0,
z1_13,1,1,True,student_pii,1.0,1.0,1.0,10.0,
z1_14,1,1,True,research_ip,1.0,1.0,1.0,10.0,
z1_15,1,1,True,student_pii,1.0,1.0,1.0,10.0,
z1_16,1,1,True,student_pii,1.0,1.0,1.0,10.0,
z1_17,1,1,True,medical,1.0,1.0,1.0,10.0,
z1_18,1,1,True,student_pii,1.0,1.0,1.0,10.0,
z1_19,1,1,True,student_pii,1.0,1.0,1.0,10.0,
z1_20,1,1,True,research_ip,1.0,1.0,1.0,10.0,
z2_01,2,2,True,internal_project,1.0,1.0,1.0,10.0,
z2_02,2,2,True,course_design,1.0,1.0,1.0,10.0,
z2_03,2,2,True,internal_project,1.0,1.0,1.0,10.0,
z2_04,2,2,True,course_design,1.0,1.0,1.0,10.0,
z2_05,2,2,True,internal_project,1.0,1.0,1.0,10.0,
z2_06,2,2,True,course_design,1.0,1.0,1.0,10.0,
z2_07,2,2,True,internal_project,1.0,1.0,1.0,10.0,
z2_08,2,2,True,course_design,1.0,1.0,1.0,10.0,
z2_09,2,2,True,internal_project,1.0,1.0,1.0,10.0,
z2_10,2,2,True,course_design,1.0,1.0,1.0,10.0,
z2_11,2,2,True,internal_project,1.0,1.0,1.0,10.0,
z2_12,2,2,True,course_design,1.0,1.0,1.0,10.0,
z2_13,2,2,True,internal_project,1.0,1.0,1.0,10.0,
z2_14,2,2,True,course_design,1.0,1.0,1.0,10.0,
z2_15,2,2,True,internal_project,1.0,1.0,1.0,10.0,
z2_16,2,2,True,course_design,1.0,1.0,1.0,10.0,
z2_17,2,2,True,internal_project,1.0,1.0,1.0,10.0,
z2_18,2,2,True,course_design,1.0,1.0,1.0,10.0,
z2_19,2,2,True,internal_project,1.0,1.0,1.0,10.0,
z2_20,2,2,True,course_design,1.0,1.0,1.0,10.0,
z3_01,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_02,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_03,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_04,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_05,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_06,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_07,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_08,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_09,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_10,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_11,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_12,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_13,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_14,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_15,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_16,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_17,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_18,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_19,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
z3_20,3,3,True,public_knowledge,1.0,1.0,1.0,10.0,
